"","year","Gender","num","CellType"
"GSM2171979","21yr","male","cell100","acinar"
"GSM2171980","21yr","male","cell101","acinar"
"GSM2171981","21yr","male","cell102","alpha"
"GSM2171982","21yr","male","cell103","acinar"
"GSM2171983","21yr","male","cell104","acinar"
"GSM2171984","21yr","male","cell105","acinar"
"GSM2171985","21yr","male","cell106","alpha"
"GSM2171986","21yr","male","cell107","acinar"
"GSM2171988","21yr","male","cell109","acinar"
"GSM2171989","21yr","male","cell110","acinar"
"GSM2171990","21yr","male","cell111","alpha"
"GSM2171991","21yr","male","cell112","acinar"
"GSM2171992","21yr","male","cell113","acinar"
"GSM2171993","21yr","male","cell114","acinar"
"GSM2171994","21yr","male","cell115","acinar"
"GSM2171996","21yr","male","cell117","alpha"
"GSM2171997","21yr","male","cell118","alpha"
"GSM2171998","21yr","male","cell119","acinar"
"GSM2171999","21yr","male","cell120","acinar"
"GSM2172002","21yr","male","cell123","alpha"
"GSM2172003","21yr","male","cell124","alpha"
"GSM2172004","21yr","male","cell125","acinar"
"GSM2172005","21yr","male","cell126","alpha"
"GSM2172007","21yr","male","cell128","acinar"
"GSM2172008","21yr","male","cell129","alpha"
"GSM2172009","21yr","male","cell130","alpha"
"GSM2172011","21yr","male","cell132","acinar"
"GSM2172012","21yr","male","cell133","acinar"
"GSM2172014","21yr","male","cell135","acinar"
"GSM2172016","21yr","male","cell137","alpha"
"GSM2172018","21yr","male","cell139","alpha"
"GSM2172019","21yr","male","cell140","alpha"
"GSM2172023","21yr","male","cell144","alpha"
"GSM2172025","21yr","male","cell146","alpha"
"GSM2172027","21yr","male","cell148","alpha"
"GSM2172029","21yr","male","cell150","alpha"
"GSM2172030","21yr","male","cell151","alpha"
"GSM2172031","21yr","male","cell152","alpha"
"GSM2172032","21yr","male","cell153","alpha"
"GSM2172034","21yr","male","cell155","alpha"
"GSM2172036","21yr","male","cell157","alpha"
"GSM2172040","21yr","male","cell161","alpha"
"GSM2172043","21yr","male","cell164","alpha"
"GSM2172046","21yr","male","cell167","alpha"
"GSM2172048","21yr","male","cell169","alpha"
"GSM2172050","21yr","male","cell171","alpha"
"GSM2172051","21yr","male","cell172","alpha"
"GSM2172053","21yr","male","cell174","alpha"
"GSM2172054","21yr","male","cell175","alpha"
"GSM2172057","21yr","male","cell178","alpha"
"GSM2172058","21yr","male","cell179","alpha"
"GSM2172059","21yr","male","cell180","alpha"
"GSM2172062","21yr","male","cell183","delta"
"GSM2172063","21yr","male","cell184","alpha"
"GSM2172064","21yr","male","cell185","alpha"
"GSM2172065","21yr","male","cell186","alpha"
"GSM2172066","21yr","male","cell187","alpha"
"GSM2172067","21yr","male","cell188","alpha"
"GSM2172074","21yr","male","cell195","alpha"
"GSM2172075","21yr","male","cell196","beta"
"GSM2172076","21yr","male","cell197","alpha"
"GSM2172077","21yr","male","cell198","alpha"
"GSM2172079","21yr","male","cell200","alpha"
"GSM2172080","21yr","male","cell201","alpha"
"GSM2172084","21yr","male","cell205","alpha"
"GSM2172085","21yr","male","cell206","alpha"
"GSM2172086","21yr","male","cell207","alpha"
"GSM2172090","21yr","male","cell211","alpha"
"GSM2172092","21yr","male","cell213","alpha"
"GSM2172093","21yr","male","cell214","alpha"
"GSM2172095","21yr","male","cell216","alpha"
"GSM2172096","21yr","male","cell217","alpha"
"GSM2172099","21yr","male","cell220","delta"
"GSM2172100","21yr","male","cell221","alpha"
"GSM2172101","21yr","male","cell222","alpha"
"GSM2172102","21yr","male","cell223","beta"
"GSM2172108","21yr","male","cell229","delta"
"GSM2172110","21yr","male","cell231","alpha"
"GSM2172114","21yr","male","cell235","alpha"
"GSM2172115","21yr","male","cell236","alpha"
"GSM2172116","21yr","male","cell237","alpha"
"GSM2172119","21yr","male","cell240","alpha"
"GSM2172120","21yr","male","cell241","alpha"
"GSM2172121","21yr","male","cell242","alpha"
"GSM2172122","21yr","male","cell243","alpha"
"GSM2172123","21yr","male","cell244","alpha"
"GSM2172125","21yr","male","cell246","alpha"
"GSM2172126","21yr","male","cell247","alpha"
"GSM2172131","21yr","male","cell252","delta"
"GSM2172134","21yr","male","cell255","alpha"
"GSM2172135","21yr","male","cell256","alpha"
"GSM2172137","21yr","male","cell258","alpha"
"GSM2172139","21yr","male","cell260","alpha"
"GSM2172141","21yr","male","cell262","alpha"
"GSM2172142","21yr","male","cell263","alpha"
"GSM2172143","21yr","male","cell264","alpha"
"GSM2172144","21yr","male","cell265","alpha"
"GSM2172148","21yr","male","cell269","alpha"
"GSM2172149","21yr","male","cell270","alpha"
"GSM2172150","21yr","male","cell271","alpha"
"GSM2172151","21yr","male","cell272","alpha"
"GSM2172152","21yr","male","cell273","alpha"
"GSM2172153","21yr","male","cell274","alpha"
"GSM2172157","21yr","male","cell278","alpha"
"GSM2172159","21yr","male","cell280","delta"
"GSM2172160","21yr","male","cell281","alpha"
"GSM2172162","21yr","male","cell283","alpha"
"GSM2172164","21yr","male","cell285","alpha"
"GSM2172165","21yr","male","cell286","alpha"
"GSM2172166","21yr","male","cell287","alpha"
"GSM2172167","21yr","male","cell288","alpha"
"GSM2172170","21yr","male","cell291","alpha"
"GSM2172173","21yr","male","cell294","beta"
"GSM2172174","21yr","male","cell295","alpha"
"GSM2172176","21yr","male","cell297","alpha"
"GSM2172178","21yr","male","cell299","alpha"
"GSM2172180","21yr","male","cell301","delta"
"GSM2172183","21yr","male","cell304","alpha"
"GSM2172185","21yr","male","cell306","alpha"
"GSM2172186","21yr","male","cell307","alpha"
"GSM2172187","21yr","male","cell308","alpha"
"GSM2172189","21yr","male","cell310","alpha"
"GSM2172190","21yr","male","cell311","alpha"
"GSM2172191","21yr","male","cell312","alpha"
"GSM2172192","21yr","male","cell313","alpha"
"GSM2172195","21yr","male","cell316","alpha"
"GSM2172199","21yr","male","cell320","ductal"
"GSM2172202","21yr","male","cell323","ductal"
"GSM2172203","21yr","male","cell324","delta"
"GSM2172206","21yr","male","cell327","ductal"
"GSM2172207","21yr","male","cell328","ductal"
"GSM2172208","21yr","male","cell329","alpha"
"GSM2172209","21yr","male","cell330","ductal"
"GSM2172211","21yr","male","cell332","ductal"
"GSM2172212","21yr","male","cell333","ductal"
"GSM2172213","21yr","male","cell334","ductal"
"GSM2172216","21yr","male","cell337","alpha"
"GSM2172218","21yr","male","cell339","ductal"
"GSM2172219","21yr","male","cell340","ductal"
"GSM2172220","21yr","male","cell341","ductal"
"GSM2172221","21yr","male","cell342","alpha"
"GSM2172222","21yr","male","cell343","ductal"
"GSM2172223","21yr","male","cell344","alpha"
"GSM2172224","21yr","male","cell345","ductal"
"GSM2172225","21yr","male","cell346","ductal"
"GSM2172227","21yr","male","cell348","ductal"
"GSM2172228","21yr","male","cell349","ductal"
"GSM2172230","21yr","male","cell351","ductal"
"GSM2172231","21yr","male","cell352","ductal"
"GSM2172232","21yr","male","cell353","ductal"
"GSM2172235","21yr","male","cell356","alpha"
"GSM2172236","21yr","male","cell357","ductal"
"GSM2172237","21yr","male","cell358","ductal"
"GSM2172238","21yr","male","cell359","ductal"
"GSM2172239","21yr","male","cell360","ductal"
"GSM2172240","21yr","male","cell361","ductal"
"GSM2172241","21yr","male","cell362","alpha"
"GSM2172244","21yr","male","cell365","ductal"
"GSM2172245","21yr","male","cell366","ductal"
"GSM2172246","21yr","male","cell367","ductal"
"GSM2172248","21yr","male","cell369","ductal"
"GSM2172249","21yr","male","cell370","ductal"
"GSM2172250","21yr","male","cell371","ductal"
"GSM2172252","21yr","male","cell373","delta"
"GSM2172253","21yr","male","cell374","alpha"
"GSM2172255","21yr","male","cell376","ductal"
"GSM2172257","21yr","male","cell378","ductal"
"GSM2172259","21yr","male","cell380","ductal"
"GSM2172260","21yr","male","cell381","ductal"
"GSM2172262","21yr","male","cell383","delta"
"GSM2172263","21yr","male","cell384","ductal"
"GSM2172264","21yr","male","cell385","ductal"
"GSM2172266","21yr","male","cell387","ductal"
"GSM2172267","21yr","male","cell388","delta"
"GSM2172268","21yr","male","cell389","ductal"
"GSM2172270","21yr","male","cell391","delta"
"GSM2172271","21yr","male","cell392","alpha"
"GSM2172272","21yr","male","cell393","ductal"
"GSM2172274","21yr","male","cell395","alpha"
"GSM2172279","21yr","male","cell400","ductal"
"GSM2172281","21yr","male","cell402","ductal"
"GSM2172283","21yr","male","cell404","alpha"
"GSM2172288","21yr","male","cell409","delta"
"GSM2172290","21yr","male","cell411","ductal"
"GSM2172291","21yr","male","cell412","alpha"
"GSM2172292","21yr","male","cell413","ductal"
"GSM2172296","21yr","male","cell417","ductal"
"GSM2172298","21yr","male","cell419","alpha"
"GSM2172299","21yr","male","cell420","ductal"
"GSM2172300","21yr","male","cell421","ductal"
"GSM2172301","21yr","male","cell422","ductal"
"GSM2172302","21yr","male","cell423","ductal"
"GSM2172303","21yr","male","cell424","ductal"
"GSM2172304","21yr","male","cell425","ductal"
"GSM2172305","21yr","male","cell426","alpha"
"GSM2172306","21yr","male","cell427","alpha"
"GSM2172307","21yr","male","cell428","ductal"
"GSM2172309","21yr","male","cell430","alpha"
"GSM2172310","21yr","male","cell431","ductal"
"GSM2172311","21yr","male","cell432","ductal"
"GSM2172312","21yr","male","cell433","ductal"
"GSM2172313","21yr","male","cell434","alpha"
"GSM2172314","21yr","male","cell435","ductal"
"GSM2172315","21yr","male","cell436","alpha"
"GSM2172316","21yr","male","cell437","ductal"
"GSM2172318","21yr","male","cell439","ductal"
"GSM2172320","21yr","male","cell441","ductal"
"GSM2172322","21yr","male","cell443","alpha"
"GSM2172323","21yr","male","cell444","alpha"
"GSM2172324","21yr","male","cell445","ductal"
"GSM2172325","21yr","male","cell446","ductal"
"GSM2172326","21yr","male","cell447","ductal"
"GSM2172327","21yr","male","cell448","alpha"
"GSM2172329","21yr","male","cell450","alpha"
"GSM2172331","21yr","male","cell452","acinar"
"GSM2172334","21yr","male","cell455","ductal"
"GSM2172335","21yr","male","cell456","alpha"
"GSM2172336","21yr","male","cell457","alpha"
"GSM2172338","21yr","male","cell459","ductal"
"GSM2172339","21yr","male","cell460","ductal"
"GSM2172342","21yr","male","cell463","alpha"
"GSM2172344","21yr","male","cell465","ductal"
"GSM2172345","21yr","male","cell466","ductal"
"GSM2172346","21yr","male","cell467","ductal"
"GSM2172347","21yr","male","cell468","alpha"
"GSM2172348","21yr","male","cell469","ductal"
"GSM2172350","21yr","male","cell471","ductal"
"GSM2172351","21yr","male","cell472","ductal"
"GSM2172352","21yr","male","cell473","beta"
"GSM2172353","21yr","male","cell474","ductal"
"GSM2172355","21yr","male","cell476","ductal"
"GSM2172357","21yr","male","cell478","ductal"
"GSM2172358","21yr","male","cell479","ductal"
"GSM2172359","21yr","male","cell480","alpha"
"GSM2172360","21yr","male","cell481","alpha"
"GSM2172361","21yr","male","cell482","ductal"
"GSM2172362","21yr","male","cell483","alpha"
"GSM2172364","21yr","male","cell485","alpha"
"GSM2172366","21yr","male","cell487","ductal"
"GSM2172367","21yr","male","cell488","alpha"
"GSM2172368","21yr","male","cell489","ductal"
"GSM2172369","21yr","male","cell490","ductal"
"GSM2172370","21yr","male","cell491","alpha"
"GSM2172371","21yr","male","cell492","ductal"
"GSM2172372","21yr","male","cell493","ductal"
"GSM2172374","21yr","male","cell495","ductal"
"GSM2172375","21yr","male","cell496","ductal"
"GSM2172376","21yr","male","cell497","alpha"
"GSM2172377","21yr","male","cell498","alpha"
"GSM2172378","21yr","male","cell499","alpha"
"GSM2172379","21yr","male","cell500","ductal"
"GSM2172380","21yr","male","cell501","ductal"
"GSM2172381","21yr","male","cell502","ductal"
"GSM2172382","21yr","male","cell503","ductal"
"GSM2172383","21yr","male","cell504","ductal"
"GSM2172384","21yr","male","cell505","ductal"
"GSM2172385","21yr","male","cell506","acinar"
"GSM2172386","38yr","female","cell507","ductal"
"GSM2172387","38yr","female","cell508","acinar"
"GSM2172388","38yr","female","cell509","alpha"
"GSM2172389","38yr","female","cell510","ductal"
"GSM2172390","38yr","female","cell511","ductal"
"GSM2172391","38yr","female","cell512","ductal"
"GSM2172392","38yr","female","cell513","alpha"
"GSM2172393","38yr","female","cell514","alpha"
"GSM2172394","38yr","female","cell515","ductal"
"GSM2172395","38yr","female","cell516","ductal"
"GSM2172396","38yr","female","cell517","alpha"
"GSM2172397","38yr","female","cell518","ductal"
"GSM2172398","38yr","female","cell519","ductal"
"GSM2172399","38yr","female","cell520","ductal"
"GSM2172400","38yr","female","cell521","ductal"
"GSM2172401","38yr","female","cell522","alpha"
"GSM2172402","38yr","female","cell523","ductal"
"GSM2172403","38yr","female","cell524","beta"
"GSM2172404","38yr","female","cell525","ductal"
"GSM2172405","38yr","female","cell526","ductal"
"GSM2172406","38yr","female","cell527","ductal"
"GSM2172407","38yr","female","cell528","acinar"
"GSM2172408","38yr","female","cell529","acinar"
"GSM2172409","38yr","female","cell530","alpha"
"GSM2172410","38yr","female","cell531","ductal"
"GSM2172411","38yr","female","cell532","ductal"
"GSM2172412","38yr","female","cell533","ductal"
"GSM2172413","38yr","female","cell534","ductal"
"GSM2172414","38yr","female","cell535","ductal"
"GSM2172415","38yr","female","cell536","acinar"
"GSM2172416","38yr","female","cell537","acinar"
"GSM2172417","38yr","female","cell538","ductal"
"GSM2172418","38yr","female","cell539","ductal"
"GSM2172419","38yr","female","cell540","alpha"
"GSM2172420","38yr","female","cell541","acinar"
"GSM2172421","38yr","female","cell542","ductal"
"GSM2172422","38yr","female","cell543","ductal"
"GSM2172423","38yr","female","cell544","ductal"
"GSM2172424","38yr","female","cell545","ductal"
"GSM2172425","38yr","female","cell546","alpha"
"GSM2172426","38yr","female","cell547","ductal"
"GSM2172427","38yr","female","cell548","mesenchymal"
"GSM2172428","38yr","female","cell549","acinar"
"GSM2172429","38yr","female","cell550","acinar"
"GSM2172430","38yr","female","cell551","acinar"
"GSM2172431","38yr","female","cell552","ductal"
"GSM2172432","38yr","female","cell553","ductal"
"GSM2172433","38yr","female","cell554","alpha"
"GSM2172434","38yr","female","cell555","ductal"
"GSM2172435","38yr","female","cell556","ductal"
"GSM2172436","38yr","female","cell557","acinar"
"GSM2172437","38yr","female","cell558","acinar"
"GSM2172438","38yr","female","cell559","acinar"
"GSM2172439","38yr","female","cell560","ductal"
"GSM2172440","38yr","female","cell561","ductal"
"GSM2172441","38yr","female","cell562","ductal"
"GSM2172442","38yr","female","cell563","ductal"
"GSM2172443","38yr","female","cell564","ductal"
"GSM2172444","38yr","female","cell565","acinar"
"GSM2172445","38yr","female","cell566","ductal"
"GSM2172446","38yr","female","cell567","ductal"
"GSM2172447","38yr","female","cell568","acinar"
"GSM2172448","38yr","female","cell569","ductal"
"GSM2172449","38yr","female","cell570","ductal"
"GSM2172450","38yr","female","cell571","ductal"
"GSM2172451","38yr","female","cell572","ductal"
"GSM2172452","38yr","female","cell573","ductal"
"GSM2172453","38yr","female","cell574","ductal"
"GSM2172454","38yr","female","cell575","acinar"
"GSM2172455","38yr","female","cell576","mesenchymal"
"GSM2172456","38yr","female","cell577","ductal"
"GSM2172457","38yr","female","cell578","beta"
"GSM2172458","38yr","female","cell579","ductal"
"GSM2172459","38yr","female","cell580","ductal"
"GSM2172460","38yr","female","cell581","acinar"
"GSM2172461","38yr","female","cell582","alpha"
"GSM2172462","38yr","female","cell583","ductal"
"GSM2172463","38yr","female","cell584","acinar"
"GSM2172464","38yr","female","cell585","acinar"
"GSM2172465","38yr","female","cell586","acinar"
"GSM2172466","38yr","female","cell587","ductal"
"GSM2172467","38yr","female","cell588","acinar"
"GSM2172468","38yr","female","cell589","ductal"
"GSM2172469","38yr","female","cell590","ductal"
"GSM2172470","38yr","female","cell591","alpha"
"GSM2172471","38yr","female","cell592","ductal"
"GSM2172472","38yr","female","cell593","ductal"
"GSM2172473","38yr","female","cell594","ductal"
"GSM2172474","38yr","female","cell595","ductal"
"GSM2172475","38yr","female","cell596","alpha"
"GSM2172476","38yr","female","cell597","ductal"
"GSM2172477","38yr","female","cell598","acinar"
"GSM2172478","38yr","female","cell599","ductal"
"GSM2172479","38yr","female","cell600","acinar"
"GSM2172480","38yr","female","cell601","mesenchymal"
"GSM2172481","38yr","female","cell602","alpha"
"GSM2172482","38yr","female","cell603","ductal"
"GSM2172483","38yr","female","cell604","beta"
"GSM2172484","38yr","female","cell605","ductal"
"GSM2172485","38yr","female","cell606","ductal"
"GSM2172486","38yr","female","cell607","ductal"
"GSM2172487","38yr","female","cell608","ductal"
"GSM2172488","38yr","female","cell609","alpha"
"GSM2172489","38yr","female","cell610","beta"
"GSM2172490","38yr","female","cell611","alpha"
"GSM2172491","38yr","female","cell612","acinar"
"GSM2172492","38yr","female","cell613","ductal"
"GSM2172493","38yr","female","cell614","ductal"
"GSM2172494","38yr","female","cell615","alpha"
"GSM2172495","38yr","female","cell616","alpha"
"GSM2172496","38yr","female","cell617","ductal"
"GSM2172497","38yr","female","cell618","acinar"
"GSM2172498","38yr","female","cell619","ductal"
"GSM2172499","38yr","female","cell620","acinar"
"GSM2172500","38yr","female","cell621","ductal"
"GSM2172501","38yr","female","cell622","acinar"
"GSM2172502","38yr","female","cell623","acinar"
"GSM2172503","38yr","female","cell624","ductal"
"GSM2172504","38yr","female","cell625","ductal"
"GSM2172505","38yr","female","cell626","ductal"
"GSM2172506","38yr","female","cell627","ductal"
"GSM2172507","38yr","female","cell628","beta"
"GSM2172508","38yr","female","cell629","ductal"
"GSM2172509","38yr","female","cell630","ductal"
"GSM2172510","38yr","female","cell631","ductal"
"GSM2172511","38yr","female","cell632","ductal"
"GSM2172512","38yr","female","cell633","ductal"
"GSM2172513","38yr","female","cell634","ductal"
"GSM2172514","38yr","female","cell635","alpha"
"GSM2172515","38yr","female","cell636","ductal"
"GSM2172516","38yr","female","cell637","ductal"
"GSM2172517","38yr","female","cell638","acinar"
"GSM2172518","38yr","female","cell639","ductal"
"GSM2172519","38yr","female","cell640","alpha"
"GSM2172520","38yr","female","cell641","ductal"
"GSM2172521","38yr","female","cell642","beta"
"GSM2172522","38yr","female","cell643","beta"
"GSM2172523","38yr","female","cell644","beta"
"GSM2172524","38yr","female","cell645","alpha"
"GSM2172525","38yr","female","cell646","alpha"
"GSM2172526","38yr","female","cell647","alpha"
"GSM2172527","38yr","female","cell648","beta"
"GSM2172528","38yr","female","cell649","alpha"
"GSM2172529","38yr","female","cell650","beta"
"GSM2172530","38yr","female","cell651","alpha"
"GSM2172531","38yr","female","cell652","alpha"
"GSM2172532","38yr","female","cell653","alpha"
"GSM2172533","38yr","female","cell654","beta"
"GSM2172534","38yr","female","cell655","alpha"
"GSM2172535","38yr","female","cell656","alpha"
"GSM2172536","38yr","female","cell657","beta"
"GSM2172537","38yr","female","cell658","alpha"
"GSM2172538","38yr","female","cell659","alpha"
"GSM2172539","38yr","female","cell660","alpha"
"GSM2172540","38yr","female","cell661","alpha"
"GSM2172541","38yr","female","cell662","alpha"
"GSM2172542","38yr","female","cell663","alpha"
"GSM2172543","38yr","female","cell664","alpha"
"GSM2172544","38yr","female","cell665","beta"
"GSM2172545","38yr","female","cell666","alpha"
"GSM2172546","38yr","female","cell667","alpha"
"GSM2172547","38yr","female","cell668","alpha"
"GSM2172548","38yr","female","cell669","alpha"
"GSM2172549","38yr","female","cell670","alpha"
"GSM2172550","38yr","female","cell671","alpha"
"GSM2172551","38yr","female","cell672","alpha"
"GSM2172552","38yr","female","cell673","alpha"
"GSM2172553","38yr","female","cell674","alpha"
"GSM2172554","38yr","female","cell675","alpha"
"GSM2172555","38yr","female","cell676","delta"
"GSM2172556","38yr","female","cell677","alpha"
"GSM2172557","38yr","female","cell678","alpha"
"GSM2172558","38yr","female","cell679","beta"
"GSM2172559","38yr","female","cell680","beta"
"GSM2172560","38yr","female","cell681","alpha"
"GSM2172561","38yr","female","cell682","alpha"
"GSM2172562","38yr","female","cell683","alpha"
"GSM2172563","38yr","female","cell684","alpha"
"GSM2172564","38yr","female","cell685","alpha"
"GSM2172565","38yr","female","cell686","alpha"
"GSM2172566","38yr","female","cell687","delta"
"GSM2172567","38yr","female","cell688","alpha"
"GSM2172568","38yr","female","cell689","delta"
"GSM2172569","38yr","female","cell690","alpha"
"GSM2172570","38yr","female","cell691","alpha"
"GSM2172571","38yr","female","cell692","alpha"
"GSM2172572","38yr","female","cell693","alpha"
"GSM2172573","38yr","female","cell694","beta"
"GSM2172574","38yr","female","cell695","alpha"
"GSM2172575","38yr","female","cell696","beta"
"GSM2172576","38yr","female","cell697","alpha"
"GSM2172577","38yr","female","cell698","alpha"
"GSM2172578","38yr","female","cell699","alpha"
"GSM2172579","38yr","female","cell700","alpha"
"GSM2172580","38yr","female","cell701","beta"
"GSM2172581","38yr","female","cell702","alpha"
"GSM2172582","38yr","female","cell703","beta"
"GSM2172583","38yr","female","cell704","alpha"
"GSM2172584","38yr","female","cell705","alpha"
"GSM2172585","38yr","female","cell706","alpha"
"GSM2172586","38yr","female","cell707","beta"
"GSM2172587","38yr","female","cell708","alpha"
"GSM2172588","38yr","female","cell709","alpha"
"GSM2172589","38yr","female","cell710","alpha"
"GSM2172590","38yr","female","cell711","alpha"
"GSM2172591","38yr","female","cell712","delta"
"GSM2172592","38yr","female","cell713","delta"
"GSM2172593","38yr","female","cell714","alpha"
"GSM2172594","38yr","female","cell715","alpha"
"GSM2172595","38yr","female","cell716","alpha"
"GSM2172596","38yr","female","cell717","alpha"
"GSM2172597","38yr","female","cell718","beta"
"GSM2172598","38yr","female","cell719","alpha"
"GSM2172599","38yr","female","cell720","alpha"
"GSM2172600","38yr","female","cell721","alpha"
"GSM2172601","38yr","female","cell722","beta"
"GSM2172602","38yr","female","cell723","alpha"
"GSM2172603","38yr","female","cell724","alpha"
"GSM2172604","38yr","female","cell725","alpha"
"GSM2172605","38yr","female","cell726","alpha"
"GSM2172606","38yr","female","cell727","alpha"
"GSM2172607","38yr","female","cell728","alpha"
"GSM2172608","38yr","female","cell729","alpha"
"GSM2172609","38yr","female","cell730","alpha"
"GSM2172610","38yr","female","cell731","alpha"
"GSM2172611","38yr","female","cell732","alpha"
"GSM2172612","38yr","female","cell733","alpha"
"GSM2172613","38yr","female","cell734","alpha"
"GSM2172614","38yr","female","cell735","alpha"
"GSM2172615","38yr","female","cell736","beta"
"GSM2172616","38yr","female","cell737","beta"
"GSM2172617","38yr","female","cell738","delta"
"GSM2172618","38yr","female","cell739","beta"
"GSM2172619","38yr","female","cell740","beta"
"GSM2172620","38yr","female","cell741","alpha"
"GSM2172621","38yr","female","cell742","alpha"
"GSM2172622","38yr","female","cell743","alpha"
"GSM2172623","38yr","female","cell744","beta"
"GSM2172624","38yr","female","cell745","beta"
"GSM2172625","38yr","female","cell746","alpha"
"GSM2172626","38yr","female","cell747","alpha"
"GSM2172627","38yr","female","cell748","alpha"
"GSM2172628","38yr","female","cell749","alpha"
"GSM2172629","38yr","female","cell750","alpha"
"GSM2172630","38yr","female","cell751","alpha"
"GSM2172631","38yr","female","cell752","beta"
"GSM2172632","38yr","female","cell753","alpha"
"GSM2172633","38yr","female","cell754","alpha"
"GSM2172634","38yr","female","cell755","alpha"
"GSM2172635","38yr","female","cell756","beta"
"GSM2172636","38yr","female","cell757","beta"
"GSM2172637","38yr","female","cell758","beta"
"GSM2172638","38yr","female","cell759","alpha"
"GSM2172639","38yr","female","cell760","alpha"
"GSM2172640","38yr","female","cell761","alpha"
"GSM2172641","38yr","female","cell762","beta"
"GSM2172642","38yr","female","cell763","alpha"
"GSM2172643","38yr","female","cell764","alpha"
"GSM2172644","38yr","female","cell765","alpha"
"GSM2172645","38yr","female","cell766","alpha"
"GSM2172646","38yr","female","cell767","beta"
"GSM2172647","38yr","female","cell768","alpha"
"GSM2172648","38yr","female","cell769","alpha"
"GSM2172649","38yr","female","cell770","alpha"
"GSM2172650","38yr","female","cell771","alpha"
"GSM2172651","38yr","female","cell772","beta"
"GSM2172652","38yr","female","cell773","alpha"
"GSM2172653","38yr","female","cell774","alpha"
"GSM2172654","38yr","female","cell775","beta"
"GSM2172655","38yr","female","cell776","alpha"
"GSM2172656","38yr","female","cell777","beta"
